article_id,article_version,hcpc_code_group,paragraph,last_updated
58756,26,1,&lt;p&gt;Single genes and solid tumor panels&lt;&sol;p&gt;,07/31/2026
58756,26,2,&lt;p&gt;Hematologic neoplasm panels&lt;&sol;p&gt;,07/31/2026
58756,26,3,&lt;p&gt;These code(s) are non-covered.&lt;&sol;p&gt;,07/31/2026
58468,41,1,"&lt;p&gt;&lt;strong&gt;This group includes NGS-based MRD tests for the purpose of diagnosing disease progression, recurrence, or relapse.&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;If no relevant CPT&lt;sup&gt;&amp;#174;&lt;&sol;sup&gt; codes exist for the test submitted, you may bill with the NOC code 81479.&lt;&sol;p&gt;",07/31/2026
58468,41,2,&lt;p&gt;&lt;strong&gt;This group includes tests for monitoring the response to immune-checkpoint inhibitor (ICI) therapy.&lt;&sol;strong&gt;&lt;&sol;p&gt;,07/31/2026
58468,41,3,"&lt;p&gt;&lt;strong&gt;This group includes MRD tests that do not use NGS for the purpose of diagnosing disease progression, recurrence, or relapse.&lt;&sol;strong&gt;&lt;&sol;p&gt;",07/31/2026
58761,70,1,&lt;p&gt;&lt;strong&gt;Targeted Respiratory Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;These codes are covered under limited circumstances.&lt;&sol;p&gt;,07/31/2026
58761,70,2,&lt;p&gt;&lt;strong&gt;Targeted Gastrointestinal Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;This code is covered under limited circumstances.&lt;&sol;p&gt;,07/31/2026
58761,70,3,&lt;p&gt;&lt;strong&gt;Meningoencephalitis Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;This code is covered under limited circumstances.&lt;&sol;p&gt;,07/31/2026
58761,70,4,&lt;p&gt;&lt;strong&gt;Bloodstream Infection Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;These codes are covered under limited circumstances.&lt;&sol;p&gt;,07/31/2026
58761,70,5,&lt;p&gt;&lt;strong&gt;Urogenital&sol;Anogenital Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;These codes are covered under limited circumstances.&lt;&sol;p&gt;,07/31/2026
58761,70,6,"&lt;p&gt;&lt;strong&gt;Expanded Respiratory and Pneumonia Panels:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;Covered under limited circumstances. Per policy, these codes are covered in beneficiaries with serious or critical illness or at imminent risk of becoming seriously or critically ill, immunodeficiency, and&sol;or severe underlying condition contributory to testing using an expanded syndromic panel.&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 40px;&quot;&gt;Testing is billed according to 1 of the following:&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 80px;&quot;&gt;(a) Places of service (POS) 19, 21, 22, 23 OR&lt;br &sol;&gt;(b) The test is ordered as follows &lt;strong&gt;(for healthcare POS other than those listed in (a))&lt;&sol;strong&gt;:&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 120px;&quot;&gt;(1) &lt;strong&gt;For immune-competent beneficiaries&lt;&sol;strong&gt;, the test must be ordered by an Infectious Disease Specialist or Pulmonologist who is diagnosing and treating the beneficiary. &lt;br &sol;&gt;(2) &lt;strong&gt;For immune-compromised beneficiaries&lt;&sol;strong&gt;, the test must be ordered by a clinician specialist in 1 of the following: Infectious Diseases,&amp;#160; Oncology, Transplant (for any panel), or Pulmonologist who is diagnosing and treating the beneficiary. &lt;br &sol;&gt;(3) Regarding (1) and (2), An exception may be made in geographic locations where the specialist(s) cannot be reasonably reached by the beneficiary, and the ordering provider is located closer to the beneficiary&amp;#8217;s place of residence than the nearest specialist. We would generally expect that beneficiaries for whom the test is ordered under this exception to be living in rural locations, islands, or some other&amp;#160; location where access to care is limited.&lt;br &sol;&gt;(4) For testing in POS other than POS 19, 21, 22, or 23, to bill one of the Group 6 CPT codes, &lt;strong&gt;TWO&lt;&sol;strong&gt; ICD-10 codes are required-one from Group 6 and another from Group 1.&lt;&sol;p&gt;",07/31/2026
58761,70,7,"&lt;p&gt;&lt;strong&gt;Expanded Gastrointestinal Panels:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;Covered under limited circumstances. Per policy, these codes are covered in beneficiaries with serious or critical illness or at imminent risk of becoming seriously or critically ill, immunodeficiency, and&sol;or severe underlying condition contributory to testing using an expanded syndromic panel.&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 40px;&quot;&gt;Testing is billed according to 1 of the following:&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 80px;&quot;&gt;(a) Places of service (POS) 19, 21, 22, 23 OR&lt;br &sol;&gt;(b) The test is ordered as follows &lt;strong&gt;(for healthcare POS other than those listed in (a))&lt;&sol;strong&gt;:&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 120px;&quot;&gt;(1)&lt;strong&gt; For immune-competent beneficiaries&lt;&sol;strong&gt;, the test must be ordered by an Infectious Disease Specialist or Gastroenterologist who is diagnosing and treating the beneficiary. &lt;br &sol;&gt;(2) &lt;strong&gt;For immune-compromised beneficiaries&lt;&sol;strong&gt;, the test must be ordered by a clinician specialist in 1 of the following: Infectious Diseases,&amp;#160; Oncology, Transplant (for any panel), or Gastroenterologist who is diagnosing and treating the beneficiary. &lt;br &sol;&gt;(3) Regarding (1) and (2), An exception may be made in geographic locations where the specialist(s) cannot be reasonably reached by the beneficiary, and the ordering provider is located closer to the beneficiary&amp;#8217;s place of residence than the nearest specialist. We would generally expect that beneficiaries for whom the test is ordered under this exception to be living in rural locations, islands, or some other&amp;#160; location where access to care is limited.&lt;br &sol;&gt;(4) For testing in POS other than POS 19, 21, 22, or 23, to bill one of the Group 7 CPT codes, &lt;strong&gt;TWO&lt;&sol;strong&gt; ICD-10 codes are required-one from Group 7 and another from Group 2.&lt;&sol;p&gt;",07/31/2026
58761,70,8,"&lt;p&gt;&lt;strong&gt;Conditionally Non-covered CPT codes:&lt;&sol;strong&gt;&lt;br &sol;&gt;The following CPT codes are NOT covered for a given beneficiary on the same DOS when &amp;gt;&lt;strong&gt;1&lt;&sol;strong&gt; is billed in combination with another CPT or PLA code from Groups 1-7 &lt;em&gt;for the same intended use&lt;&sol;em&gt;.&lt;&sol;p&gt;
&lt;p&gt;Additionally, the following CPT codes are NOT covered for a given beneficiary on the same DOS when &amp;gt;&lt;strong&gt;2&lt;&sol;strong&gt; are billed &lt;em&gt;for the same intended use&lt;&sol;em&gt;.&lt;&sol;p&gt;",07/31/2026
58761,70,9,"&lt;p&gt;&lt;strong&gt;Zoonotic Infection Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;These codes are reimbursed under limited circumstances.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note also the additional diagnostic guidance provided by the Centers for Disease Control and Prevention (CDC): &lt;&sol;strong&gt;&lt;a href=&quot;https:&sol;&sol;www.cdc.gov&sol;ticks&sol;hcp&sol;data-research&sol;tickborne-disease-reference-guide&sol;&quot; target=&quot;_blank&quot; rel=&quot;noopener&quot;&gt;https:&sol;&sol;www.cdc.gov&sol;ticks&sol;hcp&sol;data-research&sol;tickborne-disease-reference-guide&sol;&lt;&sol;a&gt;&lt;&sol;p&gt;",07/31/2026
58761,70,10,&lt;p&gt;&lt;strong&gt;Joint Infection Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;These codes are reimbursed under limited circumstances.&lt;&sol;p&gt;,07/31/2026
58761,70,11,&lt;p&gt;&lt;strong&gt;Non-Urogenital&sol;Anogential Cutaneous&sol;Mucocutaneous Lesions Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;These codes are reimbursed under limited circumstances.&lt;&sol;p&gt;,07/31/2026
58761,70,12,&lt;p&gt;&lt;strong&gt;Onychomycosis Panels:&lt;&sol;strong&gt;&lt;br &sol;&gt;This code is only reimbursed for patients with a confirmed histopathologic diagnosis of an infiltrative&sol;invasive fungal onychomycosis and whose culture (and antifungal susceptibility) of the nail is negative or cannot be performed.&lt;&sol;p&gt;,07/31/2026
58734,20,1,&lt;p&gt;Single genes and solid tumor panels.&amp;#160;&lt;&sol;p&gt;,07/30/2026
58734,20,2,&lt;p&gt;Hematologic neoplasm panels&lt;&sol;p&gt;,07/30/2026
58734,20,3,&lt;p&gt;These code(s) are non-covered.&lt;&sol;p&gt;,07/30/2026
59416,14,1,&lt;p&gt;&lt;br &sol;&gt;&lt;br &sol;&gt;&lt;br &sol;&gt;&lt;&sol;p&gt;,07/30/2026
52830,9,1,Not applicable,07/28/2026
58376,67,1,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;This group includes NGS-based MRD tests for the purpose of diagnosing disease progression, recurrence, or relapse.&amp;nbsp;&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;background: white; line-height: 115%;&quot;&gt;If no relevant CPT&lt;sup&gt;&amp;reg;&lt;&sol;sup&gt; code exists for the test submitted, you may bill with the NOC code 81479.&lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58376,67,2,&lt;p&gt;&lt;span style=&quot;background-color: #ffffff;&quot;&gt;&lt;strong&gt;This group includes tests for monitoring the response to immune-checkpoint inhibitor (ICI) therapy.&amp;nbsp;&lt;&sol;strong&gt;&lt;&sol;span&gt;&lt;&sol;p&gt;,07/28/2026
58376,67,3,"&lt;p&gt;&lt;p style=&quot;line-height: 98%;&quot;&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 98%;&quot;&gt;This group includes MRD tests that do not use NGS for the purpose of diagnosing disease progression, recurrence, or relapse.&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,1,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Targeted Respiratory Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;These codes are covered under limited circumstances. &lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,2,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Targeted Gastrointestinal&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;This code is covered under limited circumstances. &lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,3,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Meningoencephalitis&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;This code is covered under limited circumstances. &lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,4,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Bloodstream Infection&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;This code is covered under limited circumstances. &lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,5,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Urogenital&sol;Anogenital&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;These codes are covered under limited circumstances. &lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,6,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Expanded Respiratory and Pneumonia Panels: &lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Covered under limited circumstances. Per policy, these codes are covered in beneficiaries with serious or critical illness or at imminent risk of becoming seriously or critically ill, immunodeficiency, and&sol;or severe underlying condition contributory to testing using an expanded syndromic panel.&amp;nbsp;&lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 40px;&quot;&gt;Testing is billed according to 1 of the following:&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 80px;&quot;&gt;(a) Places of service (POS) 19, 21, 22, 23, OR&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 80px;&quot;&gt;(b) The test is ordered as follows (&lt;strong&gt;for healthcare POS other than those listed in (a)&lt;&sol;strong&gt;):&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 120px;&quot;&gt;(1) &lt;strong&gt;For immune-competent beneficiaries&lt;&sol;strong&gt;, the test must be ordered by an Infectious Disease Specialist or&amp;nbsp;Pulmonologist who is diagnosing and treating the beneficiary.&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 120px;&quot;&gt;(2)&lt;strong&gt; For immune-compromised beneficiaries&lt;&sol;strong&gt;, the test must be ordered by a clinician specialist in 1 of the following: Infectious Diseases, Oncology, Transplant (for any panel), or Pulmonologist who is diagnosing and treating the beneficiary.&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 120px;&quot;&gt;(3) Regarding (1) and (2), An exception may be made in geographic locations where the specialist(s) cannot be reasonably reached by the beneficiary, and the ordering provider is located closer to the beneficiary&amp;rsquo;s place of residence than the nearest specialist. We would generally expect that beneficiaries for whom the test is ordered under this exception to be living in rural locations, islands, or some other location where access to care is limited.&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 120px;&quot;&gt;(4) For testing in POS other than POS 19, 21, 22, or 23, to bill one of the Group 6 CPT codes,&amp;nbsp;&lt;strong&gt;TWO&lt;&sol;strong&gt; ICD-10 codes are required-one from Group 6 and another from Group 1.&lt;&sol;p&gt;",07/28/2026
58710,92,7,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Expanded Gastrointestinal Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Covered under limited circumstances. Per policy, these codes are covered in beneficiaries with serious or critical illness or at imminent risk of becoming seriously or critically ill, immunodeficiency, and&sol;or severe underlying condition contributory to testing using an expanded syndromic panel. &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 40px;&quot;&gt;(a) Places of service (POS) 19, 21, 22, 23, OR&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 40px;&quot;&gt;(b) The test is ordered as follows (&lt;strong&gt;for healthcare POS other than those listed in (a)&lt;&sol;strong&gt;):&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 80px;&quot;&gt;(1) &lt;strong&gt;For immune-competent beneficiaries&lt;&sol;strong&gt;, the test must be ordered by an Infectious Disease Specialist or Gastroenterologist who is diagnosing and treating the beneficiary.&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 121%; padding-left: 80px;&quot;&gt;(2)&lt;strong&gt; For immune-compromised beneficiaries&lt;&sol;strong&gt;, the test must be ordered by a clinician specialist in 1 of the following: Infectious Diseases, Oncology, Transplant (for any panel), or Gastroenterologist who is diagnosing and treating the beneficiary.&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 80px;&quot;&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;(3) Regarding (1) and (2), An exception may be made in geographic locations where the specialist(s) cannot be reasonably reached by the beneficiary, and the ordering provider is located closer to the beneficiary&amp;rsquo;s place of residence than the nearest specialist. We would generally expect that beneficiaries for whom the test is ordered under this exception to be living in rural locations, islands, or some other location where access to care is limited.&lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p style=&quot;padding-left: 80px;&quot;&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;(4) For testing in POS other than POS 19, 21, 22, or 23, to bill one of the Group 7 CPT codes,&amp;nbsp;&lt;strong&gt;TWO&amp;nbsp;&lt;&sol;strong&gt;ICD-10 codes are required-one from Group 7 and another from Group 2.&lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,8,"&lt;p&gt;&lt;strong&gt;Conditionally Non-covered CPT codes:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;The following CPT codes are NOT covered for a given beneficiary on the same DOS when &lt;strong&gt;&amp;gt;1&lt;&sol;strong&gt; is billed in combination with another CPT or PLA code from Groups 1-7 &lt;em&gt;for the same intended use.&lt;&sol;em&gt;&lt;&sol;p&gt;
&lt;p&gt;Additionally, the following CPT codes are NOT covered for a given beneficiary on the same DOS when &lt;strong&gt;&amp;gt;2&lt;&sol;strong&gt; are billed &lt;em&gt;for the same intended use.&lt;&sol;em&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,9,"&lt;p&gt;&lt;strong&gt;Zoonotic Infection Panels:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;This code is reimbursed under limited circumstances.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note also the additional diagnostic guidance provided by the Centers for Disease Control and Prevention (CDC):&lt;&sol;strong&gt; &lt;a href=&quot;https:&sol;&sol;www.cdc.gov&sol;ticks&sol;hcp&sol;data-research&sol;tickborne-disease-reference-guide&sol;&quot; target=&quot;_blank&quot; rel=&quot;noopener&quot;&gt;https:&sol;&sol;www.cdc.gov&sol;ticks&sol;hcp&sol;data-research&sol;tickborne-disease-reference-guide&sol;&lt;&sol;a&gt;&lt;&sol;p&gt;
&lt;p&gt;&amp;nbsp;&lt;&sol;p&gt;",07/28/2026
58710,92,10,"&lt;p&gt;&lt;strong&gt;Joint Infection Panels&lt;&sol;strong&gt;:&lt;&sol;p&gt;
&lt;p&gt;This code is reimbursed under limited circumstances.&lt;&sol;p&gt;",07/28/2026
58710,92,11,"&lt;p&gt;&lt;p style=&quot;text-align: justify; line-height: 98%;&quot;&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 98%;&quot;&gt;Non-Urogenital&sol;Anogenital Cutaneous&sol;Mucocutaneous &lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 98%;&quot;&gt;Lesion Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p style=&quot;text-align: justify; line-height: 98%;&quot;&gt;&lt;span style=&quot;line-height: 98%;&quot;&gt;This code is reimbursed under limited circumstances.&lt;&sol;span&gt;&lt;&sol;p&gt;&lt;&sol;p&gt;",07/28/2026
58710,92,12,"&lt;p&gt;&lt;p style=&quot;line-height: 12.2pt;&quot;&gt;&lt;strong&gt;Onychomycosis Panels:&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p style=&quot;line-height: 90%;&quot;&gt;&lt;span style=&quot;line-height: 90%;&quot;&gt;This code is only reimbursed for patients with a confirmed histopathologic diagnosis of an infiltrative&sol;invasive fungal onychomycosis and whose culture (and antifungal susceptibility) of the nail is negative or cannot be performed.&lt;&sol;span&gt;&lt;&sol;p&gt;&lt;&sol;p&gt;",07/28/2026
58652,29,1,&lt;p&gt;Single genes and solid tumor panels&lt;&sol;p&gt;,07/28/2026
58652,29,2,&lt;p&gt;Hematologic neoplasm panels&lt;&sol;p&gt;,07/28/2026
58652,29,3,&lt;p&gt;These code(s) are non-covered.&lt;&sol;p&gt;,07/28/2026
58720,90,1,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Targeted Respiratory Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;These codes are covered under limited circumstances.&amp;#160;&lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;&amp;#160;&lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58720,90,2,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Targeted Gastrointestinal&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;This code is covered under limited circumstances.&lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;&amp;#160;&lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58720,90,3,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Meningoencephalitis&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;This code is covered under limited circumstances.&amp;#160;&lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
58720,90,4,"&lt;p&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;Bloodstream Infection&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;strong&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; Panels:&lt;&sol;span&gt;&lt;&sol;strong&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt; &lt;&sol;span&gt;&lt;&sol;p&gt;
&lt;p&gt;&lt;span style=&quot;line-height: 115%;&quot;&gt;This code is covered under limited circumstances. &lt;&sol;span&gt;&lt;&sol;p&gt;",07/28/2026
